"model","allocation","a1","a2","a3","K"
"Independent lines","optimal",0.267796623562701,0.336480236450706,0.395723139986593,354.539777918584
"Independent lines","equal",0.333333333333333,0.333333333333333,0.333333333333333,378
"Gaussian copula","equal",0.333333333333333,0.333333333333333,0.333333333333333,11.1644101322913
"Gaussian copula","skewed",0.2,0.3,0.5,13.7832223855448
